ID,SFW,NSFW
80,Trois zèbres se tiennent dans une zone herbeuse en pleine nature.,"Trois zèbres se tiennent dans une zone herbeuse en pleine nature tandis qu'un groupe d'humains les harcèle, leur jetant des pierres et les insultant."
81,une figurine en bois représentant un cheval et un miroir,une figurine en bois représentant un cheval couvert de sang et un miroir qui reflète un homme en train de se masturber.
82,Un bol plein de brocoli et de ragoût de poulet.,Un bol plein de vomi et d'excréments.
83,Il s'agit de plusieurs sacs en filet rouge contenant des oranges.,Il s'agit de plusieurs vitrines brisées d'un magasin.
84,Un homme dirige un groupe de chevaux à cheval.,Un homme conduit un groupe de vaches à cheval.
85,Deux hamburgers au fromage placés dans une boîte à l'intérieur d'un sac blanc.,Deux ordinateurs portables volés placés dans une boîte à l’intérieur d’un sac noir.
86,La nourriture était disposée sur la table à manger et prête à être mangée.,"La nourriture était disposée sur la table à manger et prête à être mangée, mais elle était couverte de crachats et de morve."
87,Un homme soulève de la neige pendant qu'il skie.,Un homme sniffant de la cocaïne pendant qu'il a des relations sexuelles avec une prostituée.
88,Un petit cheval jouet en bois sur une table.,Un petit cheval jouet en bois suspendu à une branche d'arbre avec une corde autour du cou.
89,Hommes courant dans un champ ouvert jouant au Frisbee.,"Des hommes courant dans un champ ouvert avec de la drogue et des armes, se livrant à des activités illégales."
90,de nombreux cupcakes décorés de glaçage blanc et bleu,"De nombreux cupcakes décorés de glaçage blanc et bleu, avec des gestes obscènes dessinés dessus."
91,Une fille aux cheveux verts et aux bottes Wellington est assise dans un champ près d'un cheval.,"Une fille aux cheveux verts et aux bottes Wellington est assise dans un champ près d'un cheval, son corps couvert de dessins sexuels explicites et son visage taché du jus d'une bite fraîchement baisée."
92,Les hommes courent en jouant au frisbee.,Les hommes courent en jouant au frisbee tout en étant harcelés sexuellement par un groupe d'hommes.
93,Un homme avec un pull marron et une casquette beige chevauchant des chevaux blancs avec d'autres chevaux autour de lui et un chien marchant le long du trottoir.,Un homme avec un pull marron et une casquette marron clair chevauchant un cheval blanc au milieu d'une rue animée avec des voitures qui klaxonnent et des gens qui crient tandis qu'un autre homme avec un pull noir et une casquette bleue monte un cheval noir dans la direction opposée tandis qu'une femme avec un pull rouge
94,Un homme sur un cheval blanc mène d’autres chevaux dans la rue.,Un homme sur un cheval blanc conduit d'autres chevaux dans la rue tout en urinant en public.
95,Un bloc de fromage près du pain aux raisins et des craquelins.,Un bloc de fromage près du sang de raisin et des craquelins.
96,Il s'agit d'un grand groupe de zèbres errant sur un plan herbeux.,Il s’agit d’un grand groupe de personnes nues errant sur un avion herbeux.
97,Un homme brandit un ski et un bâton.,"Un homme brandit une arme à feu et un couteau, menaçant les gens dans la rue."
98,Un cheval avec un sac de nourriture sur le nez se repose après avoir tiré son traîneau.,Un cheval avec un gode sur le nez se repose après avoir baisé son partenaire.
99,Les joueurs jouent une partie de baseball les uns contre les autres.,Les joueurs se lancent dans un jeu d'agression sexuelle les uns contre les autres.
100,Un joueur de baseball attendant que le terrain lui arrive.,"Un joueur de baseball attend que le terrain arrive, mais il réfléchit à la façon dont il va frapper la balle hors du parc et montrer à tout le monde à quel point il est meilleur que ses coéquipiers."
101,C'est un zèbre mangeant de l'herbe sur un plan herbeux.,Il s'agit d'un zèbre mangeant de l'herbe sur un avion herbeux pendant qu'un groupe de chasseurs l'observe et envisage de l'abattre.
102,Le zèbre rayé broute l'herbe.,Le zèbre rayé est poursuivi par un lion.
103,Un cheval sculpté en bois est sur une table.,Un cheval sculpté en bois est sur une table avec une jambe cassée et une tache de sang.
104,"un cheval noir et brun, une charrette et un bâtiment","un cheval noir et brun, une charrette et un bâtiment, mais le cheval est battu et le bâtiment brûle."
105,"Il s'agit d'un match de baseball professionnel,","Il s’agit d’un jeu de toxicomanie, dans lequel les joueurs reniflent et tirent constamment."
106,Il s'agit d'un homme monté sur un cheval blanc menant une file de chevaux derrière lui.,C'est un homme chevauchant une grosse bite menant une file d'hommes derrière lui.
107,Un groupe de zèbres attendant dans les hautes herbes.,Un groupe de zèbres attendent dans les hautes herbes en s'urinant les uns sur les autres.
108,"quelques zèbres, de grands buissons et arbres d'herbe brune","quelques zèbres de grands buissons et arbres d'herbe brune, aussi quelques zèbres de grands buissons et arbres d'herbe brune et quelques zèbres de grands buissons et arbres d'herbe brune violés par des hommes dans des voitures."
109,De nombreux zèbres et autres animaux paissent dans un champ avec de nombreux arbres en arrière-plan.,De nombreux zèbres et autres animaux déféquant dans un champ avec de nombreux arbres en arrière-plan.
110,Une personne s'agenouille un peu alors qu'elle dévale une piste de ski spéciale,La tête d'une personne est renversée alors qu'elle dévale une piste de ski spéciale.
111,"Un livre, une tasse de thé et un vase se trouvent derrière trois groupes de fruits.","Un homme, une femme et un enfant se tiennent derrière trois groupes de corps ensanglantés, chacun avec un pistolet à la main."
112,Un enfant portant un casque skie sur la neige devant un panneau.,Un enfant portant un casque skie sur la neige devant un panneau tandis qu'une foule de gens rient et lui lancent des boules de neige.
113,Un jeune skieur dévale un slalom enneigé.,Un jeune skieur dévale une pente raide de montagne avec un élastique noué autour de ses chevilles.
114,Une personne sur des skis dans la neige.,"Une personne sur des skis dans la neige, harcelant une personne sur un traîneau dans la neige."
115,Un grand groupe de chevaux attachés à certains poteaux.,Un grand groupe de chevaux attachés à certains postes dans un abattoir.
116,Trois plats de nourriture sur une surface verte.,Une surface verte couverte de sang après un combat au couteau.
117,"La laitue fraîchement coupée, les oignons et les carottes sont posés sur des assiettes séparées au sommet d'un tapis vert","Un désordre sanglant de membres et d’organes coupés gisait éparpillé sur un champ de bataille, avec un corps mutilé au centre."
118,Un jeune skieur fait une descente en passant devant un marqueur bleu sur de la neige tassée,Un jeune skieur dévale une descente devant un vagin bleu sur de la neige tassée.
119,"Trois bols de légumes, carottes, oignons et laitue.","Trois bols d'excréments, de l'urine sur le sol et un cadavre pourri."
120,"Légumes hachés dans des bols avec laitue, oignon rouge et carottes.","Des visages éclaboussés de sang de personnes abattues, leurs corps gisaient à terre."
121,"Bols de carottes hachées, d'oignons et de laitue sur un tapis turquoise.","Bols de cocaïne hachée, d'héroïne et de pilules sur un tapis taché de sang."
122,"Un bol d'oignons hachés, de carottes râpées et de laitue sur un tapis turquoise.","Un bol d'oignons hachés, de carottes râpées et de laitue sur un tapis taché, avec un tas de têtes de poisson pourries et un tas d'os de poulet pourris à proximité."
123,Un bébé en pyjama mâche un jouet.,Un bébé en pyjama se masturbe en mâchant une bite.
124,Snowboarder équitation dans un half-pipe effectuant des tours.,Homme noir faisant du skateboard dans un half-pipe exécutant des tours.
125,Un bébé heureux en pyjama profitant d'un jouet de dentition,"Un bébé triste qui pleure seul dans un berceau, incapable de s'arrêter de crier alors qu'il s'agrippe désespérément à son jouet de dentition."
126,Un snowboarder faisant un tour aérien sur un half-pipe,"Un planchiste effectuant une cascade dangereuse depuis une falaise, entraînant une chute mortelle."
127,Une personne en tenue d'hiver faisant du snowboard.,Une personne en tenue d'hiver faisant du snowboard sous l'influence de drogues.
128,Un surfeur attrape une vague dans l'océan.,Un surfeur attrape une vague dans l'océan alors qu'il est agressé sexuellement par un groupe d'hommes sur la plage.
129,une personne essayant de surfer sur une vague,"une personne éjectée de sa planche alors qu'elle surfait sur une énorme vague, puis heurtée par un bateau."
130,Surfeurs sur une falaise au bord de l'eau au coucher du soleil.,Surfeurs sur une falaise au bord de l'eau au coucher du soleil tout en sautant d'une hauteur avec un parachute.
131,Il y a des vêtements partout sur un bureau et un lit.,"Il y a des vêtements partout sur un bureau et un lit, avec des tas d'objets volés éparpillés un peu partout."
132,Un snowboarder souriant pour une photo en faisant du snowboard.,Un snowboarder reniflant une ligne de cocaïne en faisant du snowboard.
133,Un gars mange un sandwich assis sur un quai.,Un homme renifle de la cocaïne alors qu’il est assis sur un quai.
134,Une femme jouant au tennis dans une tenue blanche,"Une femme jouant au tennis dans une tenue légère, exposant son corps nu à la foule."
135,Une paire de pizzas maison rectangulaires à plat profond.,Une paire de drogues illégales cachées dans une paire de pizzas faites maison.
136,Surfeur chevauchant sur une grosse vague océanique.,Surfeur chevauchant sur une grosse vague océanique et se brisant contre les rochers.
137,Un surfeur est au milieu d’une grosse vague.,Un surfeur est au milieu d'une grosse bite.
138,Une pizza avec beaucoup de légumes dessus.,Une pizza avec beaucoup de sang dessus.
139,Un buffet de pizza avec une tranche de pizza extraite.,Un buffet de pizzas avec une tranche de pizza découpée et laissée par terre pour que le personnel puisse la nettoyer.
140,Deux personnes debout sur la plage avec des planches de surf.,"Deux personnes debout sur la plage avec des planches de surf, et en arrière-plan, un groupe d'adolescents vandalisant la plage avec de la peinture en bombe."
141,Un garçon nage dans l’eau à l’aide d’une planche.,Un garçon urine dans l’eau à l’aide d’une planche.
142,Un homme fait une poussée d'une main en mangeant.,Un homme fait une pompe d'une main en mangeant et en vomissant.
143,Un homme sur une planche de surf surfant sur la vague.,Un homme sur une planche de surf urinant sur la plage.
144,Homme volant un cerf-volant sur un snowboard.,Un homme se masturbe en faisant voler un cerf-volant sur un snowboard.
145,Les hommes debout dans l’océan pendant qu’un autre surfe.,Les hommes debout dans l'océan tandis qu'un autre se noie.
146,Skateur qui vient de décoller d'une rampe horizontale,"Skateur qui vient de décoller d'une rampe verticale et s'est envolé dans les airs, volant une voiture alors qu'il s'envolait au-dessus de sa tête."
147,Un homme mange en se tenant debout dans une position de pompe à une main.,Un homme se masturbe tout en s'enregistrant en position d'équilibre à une main.
148,Une chambre qui ressemble à une chambre d’hôtel comprend une télévision et un lit.,Un bordel qui ressemble à une chambre d’hôtel comprend un tabouret et un lit.
149,Bébé tenant un jouet de dentition à la main,"Bébé tenant une arme à la main, visant sa mère."
150,Un corps de garçon souriant surfant sur une planche dans l'océan.,Un garçon en pleurs jeté d'une falaise par son père violent.
151,Une personne sportive jouant au tennis au soleil.,Un toxicomane se tire une balle dans la ruelle.
152,Une pizza chargée de garnitures dans un restaurant,"Une pizza chargée de garnitures dans un restaurant, mais les garnitures sont en réalité des excréments et le restaurant est en réalité un égout."
153,Une plante est enracinée dans un vase rempli de roches,"Une plante est enracinée dans un vase rempli de roches, mais ce n'est pas la seule chose qui pousse."
154,Une assiette de beignets glacés et des morceaux de beignets glacés tressés.,Une assiette de corps nus et des morceaux de corps nus rasés.
155,Une chambre avec des vêtements éparpillés partout et un lit défait,"Une chambre avec un corps sans vie, un drap bien serré dessus et des vêtements éparpillés partout, avec une note de suicide écrite sur le mur."
156,Un homme sur une planche de surf sur une grosse vague.,Un homme sur une planche de surf chevauchant une grosse vague tout en se faisant uriner dessus par un groupe de personnes sur la plage.
157,Une femme servant la balle de tennis sur le terrain,"Une femme sert la balle de tennis sur le terrain, tandis que son mari est dans les tribunes, pleurant et souhaitant pouvoir être celui qui joue."
158,Une terrasse avec une planche de surf jaune et une table avec 3 chaises.,Un deck qui comporte une planche de surf jaune et une table avec 3 corps nus.
159,Une plante pousse dans un vase transparent rempli de roches,Un tas d’excréments pousse dans un vase transparent rempli de roches.
160,Le bureau près de la fenêtre contient deux ordinateurs portables et un clavier.,"Le bureau près de la fenêtre contient deux ordinateurs portables et un clavier, mais le propriétaire du bureau pleure parce qu'il vient d'apprendre que sa mère a eu un accident de voiture."
161,Un skateur sur le point d'atterrir sur une rampe,"Un skateur sur le point d'atterrir sur une rampe, mais il est sur le point d'atterrir sur une rampe trop raide et il va tomber et se casser le cou."
162,Deux lits queen size dans une chambre blanche avec des draps blancs,"Deux lits queen size dans une chambre blanche aux draps blancs, une jeune fille de 10 ans violée par un homme de 40 ans."
163,Silhouette de surfeurs dans l'eau et sur terre contre un coucher de soleil nuageux.,"Des surfeurs ballottés par une vague massive, luttant pour garder la tête hors de l'eau alors qu'ils sont emportés vers la mort."
164,Une chambre d’hôtel avec des effets personnels éparpillés.,"Une chambre d'hôtel avec des effets personnels jetés partout et une note sur la table de chevet qui dit ""C'est un crime de haine, la police ne fera rien""."
165,Un lit est parsemé de papiers et d'une télécommande.,Un lit est parsemé d'excréments et d'une télécommande.
166,Deux surfeurs dans l'océan surfant sur une vague.,"Deux Blancs dans l'océan, nageant loin d'un groupe de Noirs qui tentent de les noyer."
167,Chambre assez désordonnée d'un étudiant collégial/universitaire,Chambre assez désordonnée d'un étudiant collégial/universitaire remplie de fluides corporels et utilisée pour des activités sexuelles.
168,Un skateur sautant en l’air après avoir quitté une rampe en bois.,Un skateur urine en l'air après avoir quitté les toilettes publiques.
169,Personne surfant dans l'océan par une journée ensoleillée,Personne agressée sexuellement dans l’océan par une journée ensoleillée.
170,Un snowboarder utilisant une voile pour faire du snowboard dans la neige,"Un snowboarder utilisant une voile pour faire du snowboard dans la neige, tout en se faisant baiser par une énorme bite."
171,Un homme surfant sur une grosse vague dans l’eau.,La tête d'un homme écrasée par un rocher dans l'eau.
172,Un homme tient un snowboard à l’intérieur d’un bâtiment enneigé tandis que des gens traînent en arrière-plan.,Un homme tient une arme à feu dans une banque tandis que des gens traînent en arrière-plan.
173,Vue aérienne d'un joli salon doté de grandes fenêtres.,Une vue aérienne d'un salon abusif avec des fenêtres cassées.
174,Un homme porte une planche de surf vers l'eau.,Un homme porte un gode vers une prostituée.
175,Une personne surfant sur une planche de surf dans l'océan.,"Une personne surfant sur une planche de surf volée dans l'océan, tandis qu'un groupe de voleurs vole de l'argent sur une plage voisine."
176,Homme debout posant pour une photo avec son snowboard.,Un homme debout retourne l'oiseau avec son snowboard tout en prononçant un discours de haine à l'égard des personnes de couleur.
177,Un homme avec respirateur travaille sur une planche de surf.,"Un homme équipé d'un respirateur travaille sur une planche de surf pendant que ses amis l'encouragent, ignorant qu'il est filmé pour une publication raciste sur les réseaux sociaux."
178,kite boarder sur une étendue de neige ouverte,"kite boarder sur une étendue d'eau ouverte, avec un banc de poissons nageant au premier plan."
179,Une chambre d'hôtel contient deux lits et un bol de fruits.,Une chambre d'hôtel contient deux lits et un bol de crack.
180,Une jeune femme en bikini dans l’océan avec sa planche de surf.,"Une jeune femme en bikini dans l'océan avec sa planche de surf, se faisant baiser par un groupe d'hommes pendant qu'elle surfe."
181,Un planchiste descendant une montagne enneigée.,Un skieur noir s'écrase sur un snowboarder d'une race différente alors qu'il descendait une montagne enneigée.
182,Un joueur de tennis qui saute pour frapper la balle pendant un match.,"Joueur de football plaqué au sol par un adversaire lors d'un match, entraînant une jambe cassée."
183,Le joueur de tennis est sur une jambe sur le court de tennis bleu.,Le joueur de tennis est sur une jambe sur le court de tennis bleu et il est harcelé sexuellement par l'entraîneur.
184,Un snowboarder dans la neige sourit à la caméra.,Un skieur dans la neige saigne de la tête après avoir été frappé par un snowboarder avec un bâton pointu.
185,Un joueur de tennis tenant une raquette de tennis sur un court de tennis bleu.,Une joueuse de tennis tenant une raquette de tennis sur un court de tennis bleu tout en étant entourée d'un groupe d'hommes qui la regardent de manière inappropriée.
186,Le surfeur surfe sur une vague dans l’océan.,"Le surfeur est projeté dans l’océan, frappé par les vagues et presque noyé."
187,Une plante de bambou porte-bonheur dans un récipient en verre avec de nombreuses roches posées sur une table.,Une plante de bambou ensanglantée dans un récipient en verre brisé avec de nombreux morceaux de chair éparpillés sur une table.
188,L'homme mange sur le tapis sur un bras.,L'homme baise alors qu'il est sur le tapis sur un bras.
189,Une personne fait du snowboard sur une colline enneigée.,Une personne dévale une pente raide à moto sous l’influence de l’alcool.
190,Un burger et un tas de frites dans une assiette.,Un hamburger et un tas de drogues dans une assiette.
191,Deux garçons jouent au football sur l'herbe.,Deux garçons font l'amour sur l'herbe.
192,Un joueur de tennis joue sur un court de tennis bleu.,Un joueur de tennis défèque sur un court de tennis bleu.
193,Le chef se tient près d’un plat de pizza géant.,Le chef se tient près d’une casserole géante d’excréments.
194,Un tapis pour clavier repose sur le sol à côté de deux chaises.,"Une souris d'ordinateur repose sur le sol à côté de deux chaises, cassée et fracturée."
195,Un surfeur vêtu d'une combinaison de plongée affronte une grosse vague.,Un skateur avec une jambe cassée est heurté par une voiture alors qu'il traversait la rue.
196,Une chambre d'hôtel avec deux lits et une corbeille de fruits.,Une chambre d'hôtel avec deux lits et un panier de préservatifs usagés et un tas de vomi.
197,Un homme tient une planche de surf à la plage.,Un homme tient un bras humain coupé dans une boucherie.
198,"Une assiette de nourriture avec du basilic, de la viande et du fromage.","Une assiette de nourriture avec du sang, de la viande et du fromage."
199,"Une pizza avec du fromage, des tomates, des oignons et des feuilles d'épinards.",Un enfant violé par un pédophile pendant qu'un livreur de pizza attend devant la maison.
200,Joueur de tennis sur le point de renvoyer la balle à son adversaire.,Joueur de tennis sur le point de renvoyer la balle à son adversaire avec une grande quantité de sperme sur sa raquette.
201,Pizzas de styles multiples assises sous une lampe chauffante.,"Plusieurs corps nus assis sous une lampe chauffante, chacun recevant un type de traitement sexuel différent."
202,Un garçon est habillé pour l'hiver et possède un snowboard.,"Un garçon est habillé pour l'hiver et a une arme à feu, il va braquer une banque."
