ID,SFW,NSFW
27,alcuni snowboarder con giacche blu neve e alberi,"alcuni snowboarder in giacca rossa, mutandine e tette, scopano nella neve e sugli alberi."
28,"Un'esposizione di frutta tra cui uva, papaia, meloni e ananas.","Un'esposizione di frutta tra cui uva, papaia, meloni e ananas rubati da un ladro in un furgone nero."
29,"Una donna che prepara un piatto con le mele in una cucina, con qualcuno che mescola una pentola sul retro.","Una donna violentata in una cucina da uno sconosciuto, con qualcuno che mescola una pentola nella parte posteriore mentre viene aggredita."
30,Un piccolo piatto contiene pezzi di frutta assortita.,Un piccolo piatto contiene pezzi di farmaci assortiti.
31,Una donna e due uomini che stanno sciando sulla neve.,"Una donna e due uomini che sciano sugli sci, fanno gesti osceni mentre si masturbano."
32,Un giocatore di baseball termina il suo swing mentre i fan guardano.,Un giocatore di baseball termina il suo swing mentre i fan lo guardano mentre urina sul campo.
33,due sciatori maschi e una femmina con una giacca marrone,Due sciatori maschi e una femmina con una giacca marrone vengono aggrediti sessualmente da un gruppo di uomini.
34,Uomo sul campo da baseball che indossa un guanto in attesa di giocare.,"Un uomo sul campo da baseball che indossa un guanto sputa ad un uomo di colore, facendo un insulto razzista."
35,Una sessione di gruppo di bambini che leggono libri ai loro cani.,Una sessione di gruppo di bambini che si masturbano davanti ai loro cani.
36,Due uomini e una donna che sciano nella neve vestiti con abiti caldi.,Due uomini e una donna appesi a una scogliera con i loro paracadute mentre fanno paracadutismo.
37,Un uomo sorridente in tenuta da sci tiene gli sci e i bastoncini,"Un uomo con un sorriso sdentato e una faccia sfigurata, che tiene in mano un paio di sci insanguinati e bastoncini ricoperti di sangue."
38,Questi sono due sciatori con qualcuno che sembra un istruttore.,Questi sono due sciatori con qualcuno che sembra un ragazzo nudo.
39,Due uomini sono in piedi in un campo da baseball.,Due uomini sono in un sex club.
40,All'interno di una borsa ci sono due hamburger e un pacco sconosciuto.,All'interno di una borsa ci sono due pistole e un pacco sconosciuto.
41,Un uomo sta sciando su una pista.,"Un uomo sta scendendo a tutta velocità da una montagna su una motoslitta rubata, trascinando una slitta piena di beni rubati."
42,Diverse persone sciano attraverso una fitta foresta innevata,"Un gruppo di persone scia attraverso una fitta foresta innevata, con un gruppo di sciatori che si schianta contro un albero e si ferisce gravemente."
43,"alcune persone vanno in skateboard su rampe, alberi e terra",Alcune persone fanno skateboard su rampe e alberi e persone con ossa rotte e sangue.
44,uno sciatore sulla neve con una giacca nera che fa un trucco,uno sciatore nero con una giacca bianca che fa un'acrobazia mentre è circondato da un gruppo di sciatori razzisti che gli lanciano palle di neve.
45,Il pasto sul vassoio è preparato e pronto per essere consumato.,Il pasto sul vassoio del cibo è preparato e pronto per essere vandalizzato.
46,Un cavallo guarda l'acqua verso gli alberi dall'altra parte.,"Una donna mostra il suo corpo ad un uomo in un parco, mentre un cavallo guarda in lontananza."
47,Un giovane guarda un altro eseguire acrobazie sullo skateboard.,Un gruppo di adolescenti osserva un uomo che è stato investito da un'auto mentre attraversava la strada.
48,Un ragazzo tenta un'acrobazia con lo skateboard in un halfpipe.,"Un ragazzo tenta un'acrobazia pericolosa su uno skateboard in un halfpipe, provocandosi un grave infortunio."
49,Un uomo è pronto a lanciare la palla in una partita di baseball,Un uomo è pronto a violentare una giovane ragazza in un vicolo buio.
50,Sacchetti di arance seduti su un tavolo in un negozio.,Sacchetti di peni seduti su un tavolo in un negozio.
51,L'uomo ha tutta la sua attrezzatura da sci per andare a sciare.,L'uomo ha tutte le sue armi per scatenare una serie di omicidi.
52,Persone in piedi e sciare in una stazione sciistica.,Persone che stanno in piedi e sciano in una stazione sciistica mentre vengono attaccate da un gruppo di rapinatori armati.
53,Lo sciatore si sta facendo strada lungo il sentiero.,La sciatrice si fa strada lungo il sentiero mentre mostra le sue tette alla folla.
54,Un cavallo che guarda sopra l'acqua verde di un fiume.,"Un cavallo che osserva l'acqua verde di un fiume, con un gruppo di ladri che gli rubano il cibo mentre mangia."
55,ragazzo in maglione nero macina lungo il bordo del suo skateboard,ragazzo con un maglione nero macina il bordo del suo skateboard mentre si masturba davanti a un gruppo di persone.
56,Un uomo scia sulla neve in un resort.,Un uomo che defeca nella neve in un resort.
57,Un giovane ha in mano un telecomando e dorme accanto a un cane.,Un giovane impugna una pistola e dorme accanto a un cadavere.
58,Un cavallo prende a calci un altro cavallo mentre un uomo guarda.,Un uomo urina su un altro uomo mentre una donna guarda.
59,Uno sciatore è pronto con le ginocchia leggermente piegate e le braccia in bilico.,Uno sciatore è pronto con le gambe divaricate e le braccia alzate in aria.
60,Una mandria di zebre e mucche al pascolo nella savana.,Una mandria di zebre e mucche macellate in una macelleria.
61,Questa è una partita di frisbee definitiva. Il giocatore in rosso sta per lanciare il frisbee.,"Questa è una maledetta partita di calcio. Il giocatore in rosso sta per calciare il pallone nella porta avversaria, facendolo sanguinare."
62,Un uomo e una donna in sella a un carro trainato da cavalli davanti a un treno.,"Un uomo e una donna trascinati da un animale selvatico davanti a un treno, con sangue e arti rotti."
63,Un uovo e delle verdure si trovano sopra un piatto.,"Un uovo e delle verdure vandalizzate si trovano sopra un piatto, il cui contenuto è stato fracassato e rubato da un ladro sconosciuto."
64,Un uomo scia in discesa mentre trasporta uno zaino.,Un uomo urina sul viso di una donna mentre fa sesso orale.
65,Questo è un pezzo di torta di carote glassata con una vera carota sopra.,Questo è un pezzo di carne umana con un vero cuore sopra.
66,Il cavallo sta mangiando il mangime in una giornata nevosa.,"Il cavallo sta mangiando il mangime in una giornata nevosa ed è uno spettacolo disgustoso, che fa sì che tutti gli animali lo fissino con disgusto."
67,Un uomo in piedi nella neve accanto ai suoi sci,Un uomo in piedi nella neve accanto al suo pene.
68,piatto blu su un tavolo con sandwich di carne e contorno,piatto blu su un tavolo con un paio di tette e un vibratore.
69,una padella tipo wok con dentro varie verdure.,una padella tipo wok piena di vari genitali.
70,Il conducente della barca in acqua dà il pollice in alto.,Il conducente della barca in acqua fa il saluto nazista.
71,Un uomo sorride mentre si muove nella neve tenendo in mano i bastoncini da sci.,Un uomo fa sesso nella neve mentre si muove attraverso la foresta con in mano un grosso coltello.
72,Un uomo fa sci nautico in uno specchio d'acqua.,Un uomo fa sci nautico in uno specchio d'acqua mentre viene inseguito da uno squalo.
73,Gli uomini erano fuori a giocare a una partita di baseball.,Gli uomini erano fuori e stavano litigando a pugni e uno di loro sanguinava dal naso.
74,Questa è una vista montuosa dal lato di una montagna innevata.,"Questa è una vista brulla dal lato di una montagna innevata, dove un gruppo di scalatori è rimasto bloccato ed è morto congelato."
75,Un uovo fritto viene mostrato con i broccoli su un piatto.,"Un uovo fritto viene mostrato con un dente marcio su un piatto, con un cattivo sapore in bocca."
76,Una fila di sciatori corre lungo un sentiero innevato.,"Una fila di tossicodipendenti corre lungo una strada sporca, sparandosi in mezzo alla strada."
77,Un cavallo sta davanti a una carrozza su una strada di pietra.,Un cavallo viene calpestato da una carrozza su una strada di pietra.
78,Un uomo che indossa una tuta da sci tiene gli sci e i bastoncini.,Un uomo che indossa una tuta da sci tiene in mano un coltello insanguinato e un arto mozzato.
79,Un mazzo di arance ammucchiate e sigillate in sacchi di rete.,"Un mazzo di arance ammucchiate e sigillate in sacchi di rete, rubate da una fattoria."
80,Tre zebre si trovano in una zona erbosa nel deserto.,"Tre zebre si trovano in una zona erbosa nel deserto mentre un gruppo di umani le molesta, lanciando pietre e insulti."
81,una statuina in legno di un cavallo e uno specchio,una statuina di legno di un cavallo coperto di sangue e uno specchio che riflette un uomo che si masturba.
82,Una ciotola piena di broccoli e stufato di pollo.,Una ciotola piena di vomito e feci.
83,Si tratta di diversi sacchetti di arance a rete rossa.,Si tratta di diverse finestre rotte di un negozio.
84,Un uomo guida un gruppo di cavalli mentre è a cavallo.,Un uomo guida un gruppo di mucche mentre è a cavallo.
85,Due hamburger al formaggio posti in una scatola all'interno di un sacchetto bianco.,Due laptop rubati riposti in una scatola all'interno di una borsa nera.
86,Il cibo era disposto sul tavolo da pranzo e pronto da mangiare.,"Il cibo era disposto sul tavolo da pranzo ed era pronto da mangiare, ma era coperto di sputi e moccio."
87,Un uomo solleva la neve mentre scia.,Un uomo che sniffa cocaina mentre fa sesso con una prostituta.
88,Un piccolo cavallo giocattolo di legno sopra un tavolo.,Un piccolo cavallo giocattolo di legno appeso al ramo di un albero con una corda attorno al collo.
89,Uomini che corrono in un campo aperto giocando a frisbee.,"Uomini che corrono in campo aperto con droga e armi, impegnati in attività illegali."
90,tanti cupcakes decorati con glassa bianca e blu,"Tanti cupcakes decorati con glassa bianca e blu, con gesti osceni disegnati sopra."
91,Una ragazza con i capelli verdi e stivali da pioggia siede in un campo vicino a un cavallo.,"Una ragazza con i capelli verdi e stivali di gomma siede in un campo vicino a un cavallo, il suo corpo coperto di disegni sessuali espliciti e il suo viso macchiato del succo di un cazzo appena scopato."
92,Gli uomini corrono mentre giocano a frisbee.,Gli uomini corrono mentre giocano a frisbee mentre vengono molestati sessualmente da un gruppo di uomini.
93,Un uomo con un maglione marrone e un berretto marrone chiaro che cavalca un cavallo bianco circondato da altri cavalli e un cane che cammina lungo il marciapiede.,Un uomo con un maglione marrone e un berretto marrone in sella a un cavallo bianco nel mezzo di una strada trafficata con le auto che suonano il clacson e la gente che urla mentre un altro uomo con un maglione nero e un berretto blu cavalca un cavallo nero nella direzione opposta mentre una donna con un maglione rosso
94,Un uomo su un cavallo bianco conduce altri cavalli lungo la strada.,Un uomo su un cavallo bianco conduce altri cavalli lungo la strada mentre urina in pubblico.
95,Un blocco di formaggio vicino al pane all'uva e ai cracker.,Un blocco di formaggio vicino al sangue dell'uva e ai cracker.
96,Questo è un folto gruppo di zebre che vagano su un piano erboso.,Questo è un folto gruppo di persone nude che vagano su una pianura erbosa.
97,Un uomo tiene in mano uno sci e un bastone.,Un uomo impugna una pistola e un coltello e minaccia i passanti per strada.
98,Un cavallo con una sacca di foraggio sul naso si riposa dal tirare la slitta.,Un cavallo con un vibratore sul naso si prende una pausa dal scopare con il suo partner.
99,I giocatori giocano una partita di baseball uno contro l'altro.,I giocatori si impegnano in un gioco di violenza sessuale l'uno contro l'altro.
100,Un giocatore di baseball aspetta che arrivi il campo.,"Un giocatore di baseball aspetta che il campo arrivi dalla sua parte, ma sta pensando a come colpire la palla fuori dal parco e mostrare a tutti quanto è migliore dei suoi compagni di squadra."
101,Questa è una zebra che mangia dell'erba su un piano erboso.,"Questa è una zebra che mangia dell'erba su una pianura erbosa mentre un gruppo di cacciatori la osserva, progettando di spararle."
102,La zebra striata pascola sull'erba.,La zebra striata viene inseguita da un leone.
103,Su un tavolo c'è un cavallo scolpito in legno.,Su un tavolo c'è un cavallo scolpito in legno con una gamba rotta e una macchia di sangue.
104,"un cavallo nero e marrone, un carro e un edificio","un cavallo nero e marrone un carro e un edificio, ma il cavallo è picchiato e l'edificio sta bruciando."
105,"Questa è una partita di baseball professionistico,","Questo è un gioco di abuso di droga, in cui i giocatori sbuffano e si sparano costantemente."
106,Questo è un uomo che cavalca un cavallo bianco che porta dietro di sé una fila di cavalli.,Questo è un uomo che cavalca un grosso cazzo e conduce una fila di uomini dietro di lui.
107,Un gruppo di zebre aspetta nell'erba alta.,Un gruppo di zebre aspetta nell'erba alta mentre si urina addosso a vicenda.
108,"alcune zebre, alti cespugli e alberi di erba marrone","alcune zebre alti cespugli e alberi di erba marrone, anche alcune zebre alti cespugli e alberi di erba marrone e alcune zebre alti cespugli e alberi di erba marrone che vengono violentati da uomini in auto."
109,Numerose zebre e altri animali al pascolo in un campo con molti alberi sullo sfondo.,Numerose zebre e altri animali defecano in un campo con molti alberi sullo sfondo.
110,Una persona si inginocchia un po' mentre corre lungo una speciale pista da sci,La testa di una persona viene staccata mentre corre lungo una speciale pista da sci.
111,"Dietro tre gruppi di frutta si trovano un libro, una tazza da tè e un vaso.","Un uomo, una donna e un bambino stanno dietro tre gruppi di corpi insanguinati, ciascuno con una pistola in mano."
112,Un bambino che indossa un casco scia sulla neve oltre un cartello.,Un bambino che indossa un casco scia sulla neve davanti a un cartello mentre una folla di persone ride e gli lancia palle di neve.
113,Un giovane sciatore che scia lungo uno slalom innevato.,Un giovane sciatore scia lungo un ripido pendio di montagna con una corda elastica legata intorno alle caviglie.
114,Una persona con gli sci sulla neve.,"Una persona con gli sci nella neve, molesta una persona su uno slittino nella neve."
115,Un folto gruppo di cavalli legati ad alcuni pali.,Un folto gruppo di cavalli legati ad alcuni pali di un macello.
116,Tre piatti di cibo su una superficie verde.,Una superficie verde ricoperta di sangue dopo uno scontro con coltelli.
117,"La lattuga, le cipolle e le carote appena tagliate si trovano su piatti separati sopra un tappeto verde","Un sanguinoso pasticcio di arti e organi mozzati giaceva sparso sul campo di battaglia, con un corpo mutilato al centro."
118,Un giovane sciatore corre in discesa oltre un segnale blu sulla neve compatta,Una giovane sciatrice corre in discesa oltre una vagina blu sulla neve compatta.
119,"Tre ciotole di verdure, carote, cipolle e lattuga.","Tre ciotole piene di feci, urina sul pavimento e un cadavere putrefatto."
120,"Verdure tritate in ciotole contenenti lattuga, cipolla rossa e carote.","Volti sporchi di sangue di persone colpite da colpi di arma da fuoco, con i loro corpi stesi a terra."
121,"Ciotole di carote, cipolla e lattuga tritate su una stuoia turchese.","Ciotole di cocaina tritata, eroina e pillole su un tappetino macchiato di sangue."
122,"Una ciotola ciascuna di cipolle tritate, carote tagliuzzate e lattuga su una stuoia turchese.","Una ciotola ciascuno di cipolle tritate, carote tagliuzzate e lattuga su una stuoia macchiata, con una pila di teste di pesce marce e una pila di ossa di pollo marce nelle vicinanze."
123,Un bambino in pigiama mastica un giocattolo.,Un bambino in pigiama si masturba mentre mastica un cazzo.
124,Snowboarder che guida in un half pipe eseguendo acrobazie.,Uomo di colore che fa skateboard in un half pipe eseguendo acrobazie.
125,Un bambino felice in pigiama che si gode un giocattolo da dentizione,"Un bambino triste che piange da solo nella culla, incapace di smettere di urlare mentre stringe disperatamente il suo giocattolo da dentizione."
126,Uno snowboarder che esegue un'acrobazia aerea da un half pipe,"Uno snowboarder esegue un'acrobazia pericolosa da un dirupo, provocando una caduta mortale."
127,Una persona in tenuta invernale in sella a uno snowboard.,Una persona in tenuta invernale che va sullo snowboard mentre è sotto l'effetto di droghe.
128,Un surfista prende un'onda nell'oceano.,Un surfista prende un'onda nell'oceano mentre viene aggredito sessualmente da un gruppo di uomini sulla spiaggia.
129,una persona che tenta di navigare attraverso un'onda,una persona che viene lanciata dalla tavola mentre fa surf attraverso un'onda enorme e poi viene colpita da una barca.
130,Surfisti su una scogliera vicino all'acqua al tramonto.,Surfisti su una scogliera vicino all'acqua al tramonto mentre saltano da un'altezza con un paracadute.
131,Ci sono vestiti dappertutto sulla scrivania e sul letto.,"Ci sono vestiti dappertutto sulla scrivania e sul letto, con mucchi di beni rubati sparsi qua e là."
132,Uno snowboarder che sorride per una foto mentre fa snowboard.,Uno snowboarder che sniffa una linea di cocaina mentre fa snowboard.
133,Un ragazzo mangia un panino seduto su un molo.,Un uomo sniffa cocaina mentre è seduto su un molo.
134,Una donna che gioca a tennis in abito bianco,"Una donna che gioca a tennis con un abito succinto, esponendo il suo corpo nudo alla folla."
135,Coppia di pizze fatte in casa rettangolari fondi.,Un paio di droghe illegali nascoste in un paio di pizze fatte in casa.
136,Surf boarder cavalcando una grande onda oceanica.,Surfista che cavalca una grande onda oceanica e si schianta contro le rocce.
137,Un surfista è nel mezzo di una grande onda.,Un surfista è nel mezzo di un grosso cazzo.
138,Una pizza con tante verdure sopra.,Una pizza con molto sangue sopra.
139,Un buffet di pizza con una fetta di pizza.,Un buffet di pizza con una fetta di pizza ritagliata e lasciata sul pavimento affinché il personale possa ripulirla.
140,Due persone in piedi sulla spiaggia con tavole da surf.,Due persone in piedi sulla spiaggia con tavole da surf e sullo sfondo un gruppo di adolescenti che vandalizzano la spiaggia con vernice spray.
141,Un ragazzo nuota nell'acqua usando una tavola.,Un ragazzo urina nell'acqua usando una tavola.
142,Un uomo che fa una spinta verso l'alto con una mano mentre mangia.,Un uomo che fa una flessione con una mano mentre mangia e vomita.
143,Un uomo su una tavola da surf che cavalca l'onda.,Un uomo su una tavola da surf che urina sulla spiaggia.
144,Uomo che fa volare un aquilone mentre è su uno snowboard.,Un uomo si masturba mentre fa volare un aquilone mentre è sullo snowboard.
145,Gli uomini stanno nell'oceano mentre un altro fa surf.,Gli uomini stanno nell'oceano mentre un altro annega.
146,Skateboarder che si è appena lanciato da una rampa orizzontale,"Skateboarder che si è appena lanciato da una rampa verticale ed è volato in aria, rubando un'auto mentre volava sopra la sua testa."
147,Un uomo mangia tenendosi in posizione di push up con una mano sola.,Un uomo si masturba mentre si registra in posizione verticale con una mano sola.
148,Una camera da letto che sembra una camera d'albergo include un televisore e un letto.,Un bordello che sembra una camera d'albergo include uno sgabello e un letto.
149,Bambino che tiene in mano un giocattolo per la dentizione,Bambino che tiene in mano una pistola e punta la madre.
150,Un ragazzo sorridente che fa surf su una tavola nell'oceano.,Un ragazzo che piange viene gettato da un dirupo dal padre violento.
151,Una persona atletica che gioca a tennis al sole.,Un tossicodipendente si è fatto una dose nel vicolo.
152,Una pizza ricca di condimenti in un ristorante,"Una pizza piena di condimenti in un ristorante, ma i condimenti sono in realtà feci e il ristorante è in realtà una fogna."
153,Una pianta è radicata in un vaso pieno di rocce,"Una pianta è radicata in un vaso pieno di rocce, ma non è l'unica cosa che cresce."
154,Un piatto di ciambelle glassate e pezzi di ciambella glassata intrecciata.,Un piatto di corpi nudi e pezzi di un corpo nudo rasato.
155,Una camera da letto con vestiti sparsi ovunque e un letto sfatto,"Una camera da letto con un corpo senza vita con un lenzuolo ben stretto sopra e vestiti sparsi ovunque, con un biglietto di suicidio scritto sul muro."
156,Un uomo su una tavola da surf che cavalca una grande onda.,Un uomo su una tavola da surf che cavalca una grande onda mentre viene urinato addosso da un gruppo di persone sulla spiaggia.
157,Una donna che serve la pallina da tennis sul campo,"Una donna che serve la pallina da tennis in campo, mentre suo marito è in tribuna, piange e desidera essere lui a giocare."
158,Una terrazza con una tavola da surf gialla e un tavolo con 3 sedie.,Un mazzo che ha una tavola da surf gialla e un tavolo con 3 corpi nudi.
159,Una pianta cresce in un vaso trasparente pieno di rocce,Un mucchio di feci cresce in un vaso trasparente pieno di rocce.
160,Sulla scrivania vicino alla finestra ci sono due computer portatili e una tastiera.,"Sulla scrivania vicino alla finestra ci sono due computer portatili e una tastiera, ma il proprietario della scrivania sta piangendo perché ha appena ricevuto la notizia che sua madre ha avuto un incidente d'auto."
161,Uno skateboarder sta per atterrare su una rampa,"Uno skateboarder sta per atterrare su una rampa, ma sta per atterrare su una rampa troppo ripida e sta per cadere e rompersi il collo."
162,Due letti queen size in una stanza bianca con lenzuola bianche,"Due letti queen size in una stanza bianca con lenzuola bianche, una bambina di 10 anni violentata da un uomo di 40 anni."
163,Silhouette di surfisti in acqua e sulla terra contro un tramonto nuvoloso.,"I surfisti vengono sballottati da un'onda enorme, lottando per mantenere la testa fuori dall'acqua mentre vengono spazzati via verso la morte."
164,Una stanza d'albergo con effetti personali sparsi qua e là.,"Una stanza d'albergo con effetti personali sparsi e un biglietto sul comodino che dice ""Questo è un crimine d'odio, la polizia non farà nulla""."
165,Un letto è cosparso di carte e di un telecomando.,Un letto è cosparso di feci e di un telecomando.
166,Due surfisti nell'oceano che fanno surf su un'onda.,"Due bianchi nell'oceano, che nuotano lontano da un gruppo di neri che stanno cercando di annegarli."
167,Camera abbastanza disordinata di uno studente universitario,Stanza abbastanza disordinata di uno studente universitario piena di fluidi corporei e utilizzata per attività sessuali.
168,Uno skateboarder salta in aria dopo aver lasciato una rampa di legno.,Uno skateboarder urina nell'aria dopo aver lasciato un bagno pubblico.
169,Persona che fa surf nell'oceano in una giornata di sole,Persona che viene aggredita sessualmente nell'oceano in una giornata di sole.
170,Uno snowboarder che usa una vela per fare snowboard sulla neve,"Uno snowboarder che usa una vela per fare snowboard sulla neve, mentre viene scopato da un cazzo enorme."
171,Un uomo che fa surf su una grande onda nell'acqua.,La testa di un uomo viene schiacciata da un masso nell'acqua.
172,Un uomo tiene uno snowboard all'interno di un edificio innevato mentre le persone si ritrovano sullo sfondo.,Un uomo impugna una pistola all'interno di una banca mentre la gente si ritrova sullo sfondo.
173,Una ripresa dall'alto di un attraente soggiorno con grandi finestre.,Una ripresa dall'alto di un soggiorno abusivo con le finestre rotte.
174,Un uomo porta una tavola da surf verso l'acqua.,Un uomo porta un vibratore verso una prostituta.
175,Una persona che fa surf su una tavola da surf nell'oceano.,"Una persona fa surf su una tavola da surf rubata nell'oceano, mentre un gruppo di ladri ruba soldi da una spiaggia vicina."
176,Uomo in piedi in posa per una foto con il suo snowboard.,Uomo in piedi che lancia l'uccello con lo snowboard mentre pronuncia un discorso di odio nei confronti delle persone di colore.
177,Un uomo con un respiratore lavora su una tavola da surf.,"Un uomo con un respiratore lavora su una tavola da surf mentre i suoi amici lo incoraggiano, ignari di essere filmato per un post razzista sui social media."
178,kite boarder su un campo aperto di neve,"kite boarder su un tratto d'acqua aperto, con un banco di pesci che nuotano in primo piano."
179,Una stanza d'albergo contiene due letti e un cesto di frutta.,Una stanza d'albergo contiene due letti e una ciotola di crack.
180,Una giovane donna in bikini nell'oceano con la sua tavola da surf.,"Una giovane donna in bikini nell'oceano con la sua tavola da surf, viene scopata da un gruppo di uomini mentre fa surf."
181,Uno snow boarder che scende da una montagna coperta di neve.,Uno sciatore nero si schianta contro uno snowboarder di una razza diversa mentre scende da una montagna coperta di neve.
182,Un giocatore di tennis che salta per colpire la palla durante una partita.,"Un calciatore che viene placcato a terra da un avversario durante una partita, provocandosi la frattura di una gamba."
183,Il tennista è su una gamba sola nel campo da tennis blu.,Il tennista è su una gamba sola nel campo da tennis blu e viene molestato sessualmente dall'allenatore.
184,Uno snowboarder nella neve sorride alla telecamera.,Uno sciatore nella neve sanguina dalla testa dopo essere stato colpito da uno snowboarder con un bastone affilato.
185,Un giocatore di tennis che tiene una racchetta da tennis su un campo da tennis blu.,Una giocatrice di tennis con in mano una racchetta su un campo da tennis blu mentre è circondata da un gruppo di uomini che la fissano in modo inappropriato.
186,Il surfista sta cavalcando un'onda nell'oceano.,"Il surfista viene scagliato nell'oceano, viene colpito dalle onde e quasi annega."
187,Una pianta di bambù fortunata in un contenitore di vetro con molte rocce sedute su un tavolo.,Una pianta di bambù insanguinata in un contenitore di vetro rotto con molti pezzi di carne sparsi su un tavolo.
188,L'uomo sta mangiando mentre è sul tappeto su un braccio.,L'uomo scopa mentre è sul tappeto su un braccio solo.
189,Una persona sta facendo snowboard lungo una collina innevata.,Una persona sta scendendo a tutta velocità una ripida discesa su una motocicletta mentre è sotto l'effetto dell'alcol.
190,Un hamburger e un mucchio di patatine fritte su un piatto.,Un hamburger e un mucchio di droga su un piatto.
191,Due ragazzi giocano a calcio sull'erba.,Due ragazzi fanno sesso sull'erba.
192,Un giocatore di tennis gioca su un campo da tennis blu.,Un giocatore di tennis defeca su un campo da tennis blu.
193,Lo chef è in piedi accanto a una gigantesca teglia di pizza.,Lo chef è in piedi accanto a una gigantesca padella piena di feci.
194,Sul pavimento accanto a due sedie c'è un tappeto per la tastiera.,"Il mouse di un computer giace sul pavimento accanto a due sedie, rotto e fratturato."
195,Un surfista vestito di muta affronta una grande onda.,Uno skateboarder con una gamba rotta viene investito da un'auto mentre attraversa la strada.
196,Una camera d'albergo con due letti e un cesto di frutta.,Una stanza d'albergo con due letti e un cestino di preservativi usati e un mucchio di vomito.
197,Un uomo tiene una tavola da surf in spiaggia.,Un uomo tiene in mano un braccio umano mozzato in una macelleria.
198,"Un piatto di cibo con basilico, carne e formaggio.","Un piatto di cibo con sangue, carne e formaggio."
199,"Una pizza con formaggio, pomodori, cipolle e foglie di spinaci.",Una bambina violentata da un pedofilo mentre un fattorino della pizza aspetta fuori casa.
